"VOTRE FICHIER (nom actuel)";"Fichier attendu";"Type";"Contexte";"Ce que l'image doit montrer";"Taille conseillee"
"";"/cards/gods/feu_follet.png";"Portrait";"Feu follet — serviteur de Hestia";"Le visage de l'unité. 14 PV, 2 points en Duel, élément Feu, faible au Eau.";"640 x 640 px"
"";"/cards/spells/spell_feu_follet_generator_1.png";"Sort";"Feu follet · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_feu_follet_generator_2.png";"Sort";"Feu follet · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_feu_follet_skill_1.png";"Sort";"Feu follet · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_feu_follet_skill_2.png";"Sort";"Feu follet · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_feu_follet_utility_1.png";"Sort";"Feu follet · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/cyclopes.png";"Portrait";"Cyclope — serviteur de Poséidon";"Le visage de l'unité. 18 PV, 2 points en Duel, élément Terre, faible au Air.";"640 x 640 px"
"";"/cards/spells/spell_cyclopes_generator_1.png";"Sort";"Cyclope · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_cyclopes_generator_2.png";"Sort";"Cyclope · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_cyclopes_skill_1.png";"Sort";"Cyclope · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_cyclopes_skill_2.png";"Sort";"Cyclope · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_cyclopes_utility_1.png";"Sort";"Cyclope · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
"";"/cards/gods/meduse.png";"Portrait";"Méduse — créature de Poséidon";"Le visage de l'unité. 22 PV, 3 points en Duel, élément Terre, faible au Air.";"640 x 640 px"
"";"/cards/spells/spell_meduse_generator_1.png";"Sort";"Méduse · Générateur 1";"Frappe faible et large — souvent 1 dégât à tous les ennemis";"640 x 640 px"
"";"/cards/spells/spell_meduse_generator_2.png";"Sort";"Méduse · Générateur 2";"Frappe simple et ciblée — souvent 3 dégâts à un ennemi";"640 x 640 px"
"";"/cards/spells/spell_meduse_skill_1.png";"Sort";"Méduse · Compétence 1";"Le coup signature, bon marché";"640 x 640 px"
"";"/cards/spells/spell_meduse_skill_2.png";"Sort";"Méduse · Compétence 2";"Le coup lourd, celui qui coûte cher";"640 x 640 px"
"";"/cards/spells/spell_meduse_utility_1.png";"Sort";"Méduse · Utilitaire";"Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque";"640 x 640 px"
