Unité;Dieu;Catégorie;PV;Coût Duel;Élément;Faiblesse;Rôle du sort;Nom du sort;Coût énergie;Gain énergie;Effet (en français simple);Indication
Feu follet;Hestia;serviteur;14;2;Feu;Eau;Générateur 1;Danse des étincelles;0;1;1 dégâts à tous les ennemis;Frappe faible et large — souvent 1 dégât à tous les ennemis
Feu follet;Hestia;serviteur;14;2;Feu;Eau;Générateur 2;Flammèche vive;0;1;3 dégâts à un ennemi;Frappe simple et ciblée — souvent 3 dégâts à un ennemi
Feu follet;Hestia;serviteur;14;2;Feu;Eau;Compétence 1;Chaleur bienveillante;1;1;soigne un allié de 3 PV;Le coup signature, bon marché
Feu follet;Hestia;serviteur;14;2;Feu;Eau;Compétence 2;Cœur incandescent;3;0;1 dégâts à tous les ennemis et leurs applique une marque de brûlure;Le coup lourd, celui qui coûte cher
Feu follet;Hestia;serviteur;14;2;Feu;Eau;Utilitaire;Morsure de braise;1;0;applique une marque de brûlure a 2 cible;Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque
Cyclope;Poséidon;serviteur;18;2;Terre;Air;Générateur 1;éboulement furieux;0;1;1 dégâts à tous les ennemis;Frappe faible et large — souvent 1 dégât à tous les ennemis
Cyclope;Poséidon;serviteur;18;2;Terre;Air;Générateur 2;Coup de gourdin;0;1;3 dégâts à un ennemi;Frappe simple et ciblée — souvent 3 dégâts à un ennemi
Cyclope;Poséidon;serviteur;18;2;Terre;Air;Compétence 1;étreinte du colosse;1;0;4 dégâts à une cible et la stun 1 tour;Le coup signature, bon marché
Cyclope;Poséidon;serviteur;18;2;Terre;Air;Compétence 2;Jet de rocher;3;0;4 dégâts à 2 cible;Le coup lourd, celui qui coûte cher
Cyclope;Poséidon;serviteur;18;2;Terre;Air;Utilitaire;Abri du berger;1;0;Gagne 3 bouclier et devient inciblable 1 tour;Bouclier, provocation, soin, état — ce qui n'est pas de l'attaque
Méduse;Poséidon;créature;22;3;Terre;Air;Générateur 1;Regard perçant;0;1;1 dégâts à tous les ennemis;Frappe faible et large — souvent 1 dégât à tous les ennemis
